,City,Cloudy,Country,Date,Hum,Lat,Lng,Temp,Wind
385,tourlaville,90,FR,1573299427,87,49.64,-1.57,48.99,13.87
386,grand-lahou,2,CI,1573299427,70,5.24,-5.0,82.47,4.65
387,cabra,38,ES,1573299428,58,37.47,-4.43,55.99,4.7
388,cockburn town,0,AU,1573299285,29,-32.08,141.0,60.8,8.05
389,ossora,100,RU,1573299428,96,59.24,163.07,34.36,9.46
390,floro,0,NO,1573299428,47,61.6,5.03,35.6,5.82
391,boa vista,41,CM,1573299428,57,4.43,8.97,89.71,7.85
392,fort nelson,17,IN,1573299249,76,17.96,79.61,75.76,5.99
393,curup,61,ID,1573299429,99,-3.47,102.53,67.95,2.42
394,ratlam,9,IN,1573299429,62,23.33,75.04,77.52,5.12
395,sochi,0,RU,1573299208,56,43.6,39.73,68.0,6.71
396,gazanjyk,0,TM,1573299292,21,39.24,55.52,61.36,11.68
397,bilma,0,NE,1573299430,6,18.69,12.92,96.51,15.77
398,zalantun,40,CN,1573299430,74,48.0,122.72,27.95,2.04
399,chernyshevskiy,99,RU,1573299430,94,63.01,112.47,25.0,9.6
400,khani,0,GE,1573299430,27,41.96,42.96,77.0,4.7
401,nabire,100,ID,1573299430,90,-3.36,135.5,75.25,1.68
402,vila franca do campo,0,IT,1573299280,54,45.18,8.4,57.99,3.36
403,yakeshi,77,CN,1573299430,75,49.28,120.73,27.05,5.48
404,oshikango,20,NA,1573299431,24,-17.39,15.89,93.2,6.93
405,mandalgovi,26,MN,1573299431,72,45.76,106.27,33.66,14.03
406,baijiantan,33,CN,1573299431,45,45.63,85.18,42.67,2.57
407,bako,13,BF,1573299431,17,12.29,-0.73,96.8,6.31
408,shubarshi,36,KZ,1573299431,88,48.59,57.19,42.46,8.75
409,kralendijk,49,BQ,1573299307,78,12.15,-68.27,82.4,11.41
410,crab hill,1,US,1573299431,61,37.27,-76.49,41.0,5.86
411,taree,90,AU,1573299432,62,-31.91,152.46,54.0,3.74
412,nelson bay,100,CA,1573299432,86,49.49,-117.29,36.0,0.56
413,dunedin,12,NZ,1573299053,88,-45.87,170.5,57.0,8.99
414,flin flon,90,FR,1573299432,70,48.5,6.66,48.2,5.82
415,muros,75,ES,1573299267,93,42.77,-9.06,60.01,8.05
416,cordoba,5,AR,1573299432,45,-27.78,-67.24,75.97,4.52
417,kuala terengganu,40,ID,1573299433,89,3.38,98.62,84.2,5.82
418,yauya,100,PE,1573299433,90,-8.99,-77.29,42.71,4.61
419,bud,0,NO,1573299433,74,62.91,6.91,33.8,14.99
420,biak,49,ID,1573299260,72,-0.91,122.88,83.79,6.31
421,saldanha,88,PT,1573299224,96,41.42,-6.55,41.77,9.91
422,cap malheureux,90,FR,1573299434,87,49.27,-1.21,48.99,13.87
423,sitka,0,US,1573299229,76,37.17,-99.65,35.01,4.0
424,jalu,0,LY,1573299434,18,29.03,21.55,86.76,7.14
425,vangaindrano,0,MG,1573299434,60,-23.35,47.6,85.17,7.85
426,aykhal,100,RU,1573299434,99,65.95,111.51,-4.38,9.51
427,amiens,75,FR,1573299434,87,49.89,2.3,48.99,9.17
428,thomasville,1,US,1573299283,92,35.88,-80.08,28.99,5.46
429,ust-kut,100,RU,1573299435,96,56.78,105.75,29.61,8.81
430,lumsden,90,CA,1573299435,95,50.65,-104.86,32.0,5.82
431,manokwari,47,ID,1573299435,80,-0.87,134.08,75.07,5.48
432,yarim,0,YE,1573299436,14,14.3,44.38,69.94,10.76
433,milkovo,20,BG,1573299436,60,41.53,24.68,73.4,5.08
434,russell,1,US,1573299311,43,38.9,-98.86,37.99,8.05
435,suoyarvi,100,RU,1573299436,98,62.08,32.35,33.87,6.49
436,panaba,71,MX,1573299436,84,21.28,-88.27,77.32,6.93
437,sorland,40,NO,1573299436,85,67.67,12.69,14.0,1.12
438,lamu,2,CN,1573299436,27,35.77,102.37,34.2,3.56
439,narsaq,75,GL,1573299268,44,60.91,-46.05,37.4,1.12
440,ozernovskiy,100,RU,1573299436,85,51.5,156.52,33.22,34.25
441,prince george,75,CA,1573299437,85,52.97,-108.38,24.01,14.99
442,husavik,97,CA,1573299437,92,50.56,-96.99,25.0,3.0
443,cairns,0,AU,1573299270,88,-16.92,145.77,73.4,2.24
444,chengde,100,CN,1573299437,50,40.97,117.93,46.09,2.77
445,henderson,40,US,1573299422,22,36.04,-114.98,57.2,2.66
446,labuhan,95,ID,1573299266,90,-2.54,115.51,75.97,2.15
447,wajid,55,SO,1573299438,55,3.81,43.25,85.59,4.68
448,sobolevo,100,RU,1573299438,89,54.43,31.9,44.35,17.07
449,jacareacanga,89,BR,1573299264,61,-6.22,-57.76,84.06,3.0
450,krasnyy kut,84,RU,1573299438,95,53.81,40.7,41.0,1.99
451,shu,22,KZ,1573299438,50,43.6,73.76,48.16,3.13
452,fruitvale,100,CA,1573299438,93,49.12,-117.55,36.0,1.43
453,jishou,89,CN,1573299438,55,28.26,109.7,59.49,1.48
454,acapulco,20,MX,1573299439,88,16.86,-99.88,77.0,3.6
455,rocha,99,UY,1573299296,91,-34.48,-54.34,63.59,5.95
456,hauterive,40,CA,1573299439,67,49.18,-68.27,24.01,3.36
457,havelock,1,US,1573299251,69,34.88,-76.9,39.99,12.75
458,rafsanjan,53,IR,1573299439,28,30.4,55.99,59.38,10.92
459,mangan,100,IN,1573299440,92,27.5,88.54,49.1,1.14
460,zarechnyy,100,RU,1573299440,97,60.99,40.4,31.53,6.49
461,tazovskiy,100,RU,1573299306,97,67.47,78.7,-6.9,9.71
462,ludvika,100,SE,1573299440,92,60.15,15.18,34.0,3.36
463,porto santo,75,PT,1573299367,100,41.15,-8.61,57.99,16.11
464,olden,40,NO,1573299440,58,61.84,6.81,30.0,4.7
465,mackenzie,90,CA,1573299440,72,55.34,-123.09,15.8,4.7
466,riviere-au-renard,40,CA,1573299440,58,49.0,-64.4,24.8,17.22
467,kushva,50,RU,1573299441,89,58.28,59.76,16.36,4.34
468,geraldton,90,CA,1573299282,85,49.72,-86.95,14.0,3.36
469,vredendal,61,ZA,1573299441,31,-31.68,18.49,83.28,19.42
470,wroclaw,75,PL,1573299203,100,51.1,17.03,51.01,4.7
471,bam,1,IR,1573299441,16,29.11,58.36,68.77,12.21
472,kailua,20,US,1573299441,78,21.39,-157.74,71.6,3.36
473,zhigansk,100,RU,1573299258,71,66.77,123.37,3.76,18.12
474,hibbing,90,US,1573299158,85,47.43,-92.94,26.6,5.12
475,hermiston,1,US,1573299442,86,45.84,-119.29,48.0,3.36
476,itarema,98,BR,1573299293,52,-2.92,-39.92,86.76,11.23
477,ewa beach,39,CM,1573299442,59,5.76,9.91,77.59,6.6
478,zaragoza,34,SV,1573299442,73,13.59,-89.29,77.0,5.82
479,okhotsk,100,RU,1573299239,70,59.36,143.24,11.93,20.02
480,ntcheu,57,MW,1573299442,33,-14.82,34.64,84.69,9.98
481,milyutinskaya,78,RU,1573299442,67,48.63,41.67,55.96,12.64
482,obo,99,CF,1573299443,66,5.39,26.49,83.34,4.12
483,yeroham,0,IL,1573299443,60,30.99,34.93,81.0,4.0
484,najran,0,SA,1573299240,21,17.54,44.22,82.4,5.82
485,avera,1,US,1573299271,49,33.19,-82.53,37.4,4.7
486,tual,79,ID,1573299443,78,-5.67,132.75,81.59,4.81
487,benghazi,5,LY,1573299443,46,32.12,20.07,77.32,6.42
488,puerto madryn,20,AR,1573299444,64,-51.62,-69.23,37.4,10.29
489,sault sainte marie,20,FR,1573299444,62,44.09,5.41,55.4,19.46
490,moissala,27,TD,1573299444,21,8.34,17.77,97.12,8.88
491,imbituba,75,BR,1573299444,100,-28.24,-48.67,69.8,2.24
492,xinqing,14,CN,1573299444,67,48.28,129.53,19.62,4.97
493,nome,1,US,1573299247,86,30.04,-94.42,41.0,5.93
494,jiexiu,100,CN,1573299445,68,37.02,111.92,42.46,8.14
495,paamiut,17,GL,1573299445,55,61.99,-49.67,36.75,12.17
496,sulangan,32,PH,1573299445,69,11.14,123.72,83.41,4.94
497,tucurui,100,BR,1573299445,70,-3.77,-49.67,82.69,5.35
498,salalah,0,OM,1573299235,59,17.01,54.1,79.74,6.2
499,galesong,20,ID,1573299445,94,-5.32,119.37,78.8,5.82
500,ambon,100,FR,1573299445,93,47.55,-2.56,53.01,11.41
501,mangochi,14,MW,1573299446,34,-14.48,35.26,90.01,8.37
502,high prairie,90,US,1573299446,80,33.61,-95.75,42.01,4.7
503,mariental,90,BR,1573299446,93,-25.72,-49.65,70.0,5.82
504,sakata,75,JP,1573299447,57,38.92,139.93,51.8,9.17
505,huilong,100,CN,1573299304,78,31.15,106.5,60.33,1.21
506,san andres,47,ML,1573299218,24,13.3,-4.9,97.23,2.75
507,mizdah,36,LY,1573299447,27,31.45,12.98,70.56,12.59
508,povenets,100,RU,1573299447,95,62.85,34.83,29.71,5.97
509,okha,100,RU,1573299447,88,53.59,142.95,25.81,25.66
510,honiara,20,SB,1573299448,94,-9.43,159.96,77.0,4.7
511,maniitsoq,90,GL,1573299448,48,65.42,-52.9,37.27,25.05
512,hun,75,BE,1573299448,81,50.34,4.87,48.0,10.29
513,half moon bay,75,LR,1573299238,66,6.38,-10.7,89.6,3.13
514,saraipali,69,IN,1573299448,71,21.32,83.0,75.94,2.19
515,ranong,75,TH,1573299448,100,9.96,98.62,77.0,2.24
516,carutapera,45,BR,1573299448,80,-1.2,-46.02,81.36,14.56
517,erzin,0,TR,1573299449,17,36.95,36.2,86.0,6.93
518,tomatlan,34,MX,1573299449,70,19.93,-105.25,70.92,3.06
519,tahoua,0,NE,1573299449,7,14.89,5.26,98.6,16.11
520,havre-saint-pierre,90,CA,1573299449,53,50.23,-63.6,23.0,13.87
521,price,1,US,1573299449,40,39.6,-110.81,35.01,8.05
522,bambanglipuro,0,ID,1573299450,85,-7.95,110.28,75.16,4.16
523,alice springs,93,ZA,1573299249,44,-32.79,26.83,73.33,21.79
524,nacala,75,MZ,1573299450,52,-14.56,40.69,91.4,10.29
525,andreapol,100,RU,1573299450,89,56.65,32.27,41.94,14.09
526,kalevala,100,FI,1573299450,97,64.12,29.58,31.86,8.88
527,vardo,1,US,1573299245,79,39.62,-77.74,26.01,1.74
528,abha,40,SA,1573299221,25,18.22,42.5,75.2,4.7
529,porto walter,75,PT,1573299171,100,41.15,-8.61,57.99,16.11
